month,year,city,state,family,demand,attribution,paid,date
Nov,2013,Swansea PD,MA,CryptoLocker,750,—,TRUE,2013-11-01
Dec,2013,Greenland,NH,CryptoLocker,300,—,FALSE,2013-12-01
Jun,2014,Durham PD,NH,CryptoWall,NA,—,FALSE,2014-06-01
Jun,2014,Collinsville,AL,Unknown,NA,—,FALSE,2014-06-01
Nov,2014,Dickson Sher,TN,CryptoWall,572,—,TRUE,2014-11-01
Feb,2015,Midlothian P,IL,Unknown,500,—,TRUE,2015-02-01
Apr,2015,Tewksbury,MA,CryptoLocker,500,—,TRUE,2015-04-01
Apr,2015,Lincoln Coun,ME,Megacode,300,—,TRUE,2015-04-01
Jan,2016,Medfield,MA,Unknown,300,—,TRUE,2016-01-01
Feb,2016,Park County,WY,TeslaCrypt,NA,—,FALSE,2016-02-01
Feb,2016,Arizona Supe,AZ,Unknown,NA,—,FALSE,2016-02-01
Feb,2016,Los Angeles,CA,Unknown,NA,—,FALSE,2016-02-01
Feb,2016,Oxford Schoo,MS,Unknown,NA,—,FALSE,2016-02-01
Feb,2016,Durham,NC,Unknown,NA,—,FALSE,2016-02-01
Feb,2016,Horry County,SC,Unknown,8000,—,FALSE,2016-02-01
Feb,2016,Melrose PD,MA,Unknown,489,—,TRUE,2016-02-01
Mar,2016,Kankakee Cou,IL,CryptoWall,NA,—,FALSE,2016-03-01
Mar,2016,Manlius,NY,LeChiffre,400,Russia,FALSE,2016-03-01
Mar,2016,Cloquet Scho,MN,Unknown,6000,—,FALSE,2016-03-01
Mar,2016,Clark County,NV,Unknown,NA,—,NA,2016-03-01
Apr,2016,Plainfield,NJ,Unknown,650,—,FALSE,2016-04-01
Apr,2016,Lansing Boar,MI,Unknown,25000,—,TRUE,2016-04-01
May,2016,Pinal County,AZ,CryptoLocker,NA,—,FALSE,2016-05-01
May,2016,Grant County,OR,Scarab,NA,—,FALSE,2016-05-01
May,2016,Rhinebeck Sc,NY,Unknown,500,—,FALSE,2016-05-01
Jun,2016,Henry County,TN,Scarab,NA,—,FALSE,2016-06-01
Jun,2016,Palm Beach 9,FL,Unknown,NA,—,FALSE,2016-06-01
Jun,2016,Janesville,WI,Unknown,NA,—,NA,2016-06-01
Jun,2016,Columbiana C,OH,Unknown,2883,—,TRUE,2016-06-01
Jul,2016,Woodbury Cou,IA,Unknown,NA,—,FALSE,2016-07-01
Jul,2016,Wadena,MN,Unknown,NA,—,FALSE,2016-07-01
Aug,2016,Sarasota,FL,Unknown,33000000,—,FALSE,2016-08-01
Aug,2016,State Police,RI,Unknown,NA,—,FALSE,2016-08-01
Aug,2016,Barnstable P,MA,Unknown,NA,—,FALSE,2016-08-01
Sep,2016,Yuba City,CA,Unknown,NA,—,FALSE,2016-09-01
Sep,2016,Palm Beach 9,FL,Unknown,NA,—,FALSE,2016-09-01
Sep,2016,"Honolulu, FD",HI,Unknown,NA,—,FALSE,2016-09-01
Sep,2016,Crow Wing Co,MN,Unknown,NA,—,FALSE,2016-09-01
Sep,2016,Dep of Miner,ND,Unknown,350,—,FALSE,2016-09-01
Sep,2016,Springfield,TN,Unknown,1000,—,FALSE,2016-09-01
Sep,2016,Palm Hill PD,TX,Unknown,250,—,NA,2016-09-01
Oct,2016,Henry County,OH,Unknown,NA,—,FALSE,2016-10-01
Oct,2016,Mount Holly,PA,Unknown,500,—,FALSE,2016-10-01
Nov,2016,San Francisc,CA,HDDCryptor,73000,—,FALSE,2016-11-01
Nov,2016,Howard Count,IN,Unknown,NA,—,FALSE,2016-11-01
Nov,2016,St Mary's Co,MD,Unknown,NA,—,FALSE,2016-11-01
Nov,2016,Bigfork Scho,MT,Unknown,NA,—,FALSE,2016-11-01
Nov,2016,Madison Coun,IN,Unknown,21000,—,TRUE,2016-11-01
Dec,2016,Alpena Schoo,MI,Unknown,NA,—,FALSE,2016-12-01
Dec,2016,Mt Pleasant,SC,Unknown,NA,—,FALSE,2016-12-01
Dec,2016,Cockrell Hil,TX,Unknown,4000,—,FALSE,2016-12-01
Dec,2016,Allegheny Co,PA,Nymain,1400,—,TRUE,2016-12-01
Dec,2016,Carroll Coun,AR,Unknown,2400,—,TRUE,2016-12-01
